batting_team,bowling_team,score,wickets,overs,final_score
MI,KKR,37,2,5,168
CSK,DC,100,4,12,150
DC,CSK,87,3,13,149
RR,KXIP,74,3,10,162
KXIP,RR,92,5,13,136
CSK,SRH,75,1,8,209
SRH,CSK,91,3,11,164
KKR,RCB,131,3,16,177
RCB,KKR,119,5,14,187
DC,RR,93,2,11,184
RR,DC,130,5,15,186
MI,KXIP,46,5,12,159
KXIP,MI,88,3,10,177
RCB,SRH,93,3,12,166
MI,RR,45,3,10,164
RR,MI,113,3,15,172
KXIP,DC,33,1,5,165
DC,KXIP,53,2,7,170
SRH,RR,35,3,5,127
RR,SRH,64,1,10,131
MI,CSK,132,5,15,183
DC,SRH,93,2,11,167
SRH,DC,51,2,6,163
KXIP,KKR,90,4,12,155
CSK,RR,65,4,9,156
MI,RCB,119,2,13,209
RCB,MI,97,4,12,191
DC,KKR,58,3,8,146
KXIP,RR,42,2,6,191
RR,KXIP,95,1,11,191
SRH,KKR,130,1,14,176
CSK,RCB,70,2,9,181
RCB,CSK,61,3,8,154
DC,MI,156,2,17,190
MI,DC,68,3,8,153
RR,RCB,72,3,10,130
MI,SRH,49,2,7,157
SRH,MI,68,3,9,137
CSK,KXIP,50,1,4,192
KXIP,CSK,55,5,9,95
DC,RCB,39,4,6,95
SRH,KXIP,56,2,6,150
KXIP,SRH,53,4,8,130
CSK,KKR,67,3,10,134
KKR,CSK,76,4,12,132
RCB,RR,124,4,14,200
CSK,KKR,72,5,7,165
KKR,CSK,54,2,8,170
KXIP,DC,37,5,8,118
MI,RR,84,3,10,187
RR,MI,71,2,8,179
SRH,CSK,107,2,10,192
CSK,SRH,48,2,5,170
MI,KXIP,111,1,12,172
KXIP,MI,86,3,12,149
RR,DC,52,1,7,189
DC,RR,106,4,13,175
CSK,RCB,98,3,14,148
RCB,CSK,34,3,5,124
KKR,SRH,81,2,11,167
SRH,KKR,55,4,8,132
DC,MI,50,3,7,152
RCB,KXIP,119,1,11,226
SRH,RR,89,2,10,201
RR,SRH,121,5,14,194
KKR,DC,82,3,11,171
DC,KKR,71,2,11,158
CSK,MI,65,3,9,158
MI,CSK,85,2,11,165
KXIP,KKR,143,3,16,183
KKR,KXIP,83,4,11,185
SRH,DC,99,4,15,163
DC,SRH,65,3,10,157
RCB,MI,20,1,3,235
MI,RCB,133,3,14,196
CSK,RR,116,3,16,157
RR,CSK,75,4,12,145
SRH,KXIP,56,1,6,185
KXIP,SRH,60,3,7,180
CSK,DC,46,3,9,119
MI,KKR,79,4,12,171
KKR,MI,88,3,11,166
KXIP,CSK,55,5,10,130
RR,KKR,110,2,11,199
KKR,RR,77,3,8,190
DC,RCB,55,1,6,187
SRH,MI,51,4,9,113
MI,CSK,90,1,10,187
CSK,MI,110,5,14,162
RCB,RR,41,1,6,180
RR,RCB,79,4,12,109
RCB,CSK,36,3,7,139
CSK,RCB,61,3,10,141
MI,CSK,120,2,12,202
CSK,MI,99,3,13,161
